"V1" "V2"
"1479" "unidentified invert larva" "Euphausid furcilia"
"1480" "Cynoglossus sp." "Euphausid furcilia"
"1481" "amphipod" "fish"
"1482" "Bivalve" "fish"
"1483" "Calliopius sp." "fish"
"1484" "Clupea pallasii" "fish"
"1485" "Copepod copepodite" "fish"
"1486" "Copepod egg" "fish"
"1487" "copepod nauplius" "fish"
"1488" "E.superba furcilia" "fish"
"1489" "Eucalanus bungii" "fish"
"1490" "Euphausa superba" "fish"
"1491" "euphausia" "fish"
"1492" "gastropod" "fish"
"1493" "Hyperidae" "fish"
"1494" "Lumpenus sagitta" "fish"
"1495" "Notothenia neglecta" "fish"
"1496" "Nototheniops larseni" "fish"
"1497" "Ophidion elongatus" "fish"
"1498" "Pleuragramma antarcticum" "fish"
"1499" "Roundworm" "fish"
"1500" "Schistomysis spiritus" "fish"
"1501" "Theragra chalcogramma" "fish"
"1502" "Thysanoessa inermis" "fish"
"1503" "Thysanoessa macrura" "fish"
"1504" "Thysanoessa raschii" "fish"
"1505" "Thysanoessa spinefera" "fish"
"1506" "Acanthocepola sp." "fish"
"1507" "Ammodytes hexapterus" "fish"
"1508" "Benthosema glaciale" "fish"
"1509" "Carangoides sp." "fish"
"1510" "Ceratoscopelus maderensis" "fish"
"1511" "Cynoglossus sp." "fish"
"1512" "Diaphus garmani" "fish"
"1513" "Hemilepidotus spinosus" "fish"
"1514" "Hygophum benoiti" "fish"
"1515" "Lampanyctus crocodilus" "fish"
"1516" "Lumpenella longirostris" "fish"
"1517" "Lumpenus sagitta" "fish"
"1518" "Merluccius productus" "fish"
"1519" "Myctophum asperum" "fish"
"1520" "Myctophum punctatum" "fish"
"1521" "Notolepis rissoi" "fish"
"1522" "Rhamphocottus richardsoni" "fish"
"1523" "Scorpaenodes sp." "fish"
"1524" "Sebastes sp." "fish"
"1525" "Amphipod" "fish larvae"
"1526" "Appendicularians house" "fish larvae"
"1527" "brachyura larvae" "fish larvae"
"1528" "Calanoid copepodite" "fish larvae"
"1529" "Calanoides acutus" "fish larvae"
"1530" "Calanus pacificus" "fish larvae"
"1531" "Calanus propinquus" "fish larvae"
"1532" "Calanus sp." "fish larvae"
"1533" "Centropages typicus - copepodite" "fish larvae"
"1534" "cladocera" "fish larvae"
"1535" "Cladocera" "fish larvae"
"1536" "copepod" "fish larvae"
"1537" "Corycaeus sp." "fish larvae"
"1538" "crab megalope" "fish larvae"
"1539" "Ctenocalanus sp." "fish larvae"
"1540" "Cyclopoid copepodite" "fish larvae"
"1541" "Decapod zoea" "fish larvae"
"1542" "E. superba eggs" "fish larvae"
"1543" "E. superba nauplius" "fish larvae"
"1544" "Eucalanus sp." "fish larvae"
"1545" "Euchaeta sp." "fish larvae"
"1546" "Euphausid calyptopis" "fish larvae"
"1547" "fish eggs" "fish larvae"
"1548" "Heterorhabdus sp." "fish larvae"
"1549" "isopod" "fish larvae"
"1550" "Medusa" "fish larvae"
"1551" "Metridia gerlacei" "fish larvae"
"1552" "Metridia sp." "fish larvae"
"1553" "Nauplius" "fish larvae"
"1554" "Oikopleura" "fish larvae"
"1555" "Ostracod" "fish larvae"
"1556" "Polychaete" "fish larvae"
"1557" "Protozoa" "fish larvae"
"1558" "Rhincalanus gigas" "fish larvae"
"1559" "Unidentified" "fish larvae"
"1560" "Unidentified crustacean" "fish larvae"
"1561" "unidentified invert larva" "fish larvae"
"1562" "amphipod" "fish unidentified"
"1563" "Benthosema glaciale" "fish unidentified"
"1564" "Bivalve" "fish unidentified"
"1565" "Calliopius sp." "fish unidentified"
"1566" "Copepod copepodite" "fish unidentified"
"1567" "copepod nauplius" "fish unidentified"
"1568" "crustacean larva" "fish unidentified"
"1569" "E.superba furcilia" "fish unidentified"
"1570" "Euphausa superba" "fish unidentified"
"1571" "euphausia" "fish unidentified"
"1572" "Euphausid furcilia" "fish unidentified"
"1573" "fish larvae" "fish unidentified"
"1574" "gastropod" "fish unidentified"
"1575" "Glyptocephalus cynoglossus" "fish unidentified"
"1576" "Goby" "fish unidentified"
"1577" "Gonostomatidae sp." "fish unidentified"
"1578" "Hyperidae" "fish unidentified"
"1579" "Insects" "fish unidentified"
"1580" "Lepidotrigla cavillone" "fish unidentified"
"1581" "Loligo pealei or Illex illecebrosus" "fish unidentified"
"1582" "Maurolicus muelleri" "fish unidentified"
"1583" "Meganyctiphanes norvegica" "fish unidentified"
"1584" "Mysidacea" "fish unidentified"
"1585" "Notothenia gibberifrons" "fish unidentified"
"1586" "Notothenia neglecta" "fish unidentified"
"1587" "Nototheniops larseni" "fish unidentified"
"1588" "Ophidion elongatus" "fish unidentified"
"1589" "Pleuragramma antarcticum" "fish unidentified"
"1590" "Roundworm" "fish unidentified"
"1591" "silversides, anchovies and 'other fish prey'" "fish unidentified"
"1592" "Themisto pacifica" "fish unidentified"
"1593" "Theragra chalcogramma" "fish unidentified"
"1594" "Thysanoessa inermis" "fish unidentified"
"1595" "Thysanoessa macrura" "fish unidentified"
"1596" "Thysanoessa raschii" "fish unidentified"
"1597" "Thysanoessa spinefera" "fish unidentified"
"1598" "Acanthocepola sp." "fish unidentified"
"1599" "Ammodytes hexapterus" "fish unidentified"
"1600" "Anarhichas lupus" "fish unidentified"
"1601" "Anarhichas minor" "fish unidentified"
"1602" "Benthosema glaciale" "fish unidentified"
"1603" "Carangoides sp." "fish unidentified"
"1604" "Chionodraco rastrospinosus" "fish unidentified"
"1605" "Diaphus garmani" "fish unidentified"
"1606" "Dicentrarchus labrax" "fish unidentified"
"1607" "Gilbertidia sigalutes" "fish unidentified"
"1608" "Hemilepidotus hemilepidotus" "fish unidentified"
"1609" "Hemilepidotus spinosus" "fish unidentified"
"1610" "Hygophum benoiti" "fish unidentified"
"1611" "Lumpenella longirostris" "fish unidentified"
"1612" "Lumpenus sagitta" "fish unidentified"
"1613" "Merluccius productus" "fish unidentified"
"1614" "Myctophum asperum" "fish unidentified"
"1615" "Myctophum punctatum" "fish unidentified"
"1616" "Nototheniops larseni" "fish unidentified"
"1617" "Oncorhynchus gorbuscha" "fish unidentified"
"1618" "Ophiodon elongatus" "fish unidentified"
"1619" "Pleuragramma antarcticum" "fish unidentified"
"1620" "Psychrolutes paradoxus" "fish unidentified"
"1621" "Rhamphocottus richardsoni" "fish unidentified"
"1622" "Scorpaenodes sp." "fish unidentified"
"1623" "Sebastes sp." "fish unidentified"
"1624" "Theragra chalcogramma" "fish unidentified"
"1625" "amphipod" "flatfish"
"1626" "Bivalve" "flatfish"
"1627" "Calliopius sp." "flatfish"
"1628" "Clupea pallasii" "flatfish"
"1629" "Copepod copepodite" "flatfish"
"1630" "Copepod egg" "flatfish"
"1631" "copepod nauplius" "flatfish"
"1632" "crustacean larva" "flatfish"
"1633" "E.superba furcilia" "flatfish"
"1634" "Euphausa superba" "flatfish"
"1635" "euphausia" "flatfish"
"1636" "gastropod" "flatfish"
"1637" "Hyperidae" "flatfish"
"1638" "Insects" "flatfish"
"1639" "Notothenia gibberifrons" "flatfish"
"1640" "Notothenia neglecta" "flatfish"
"1641" "Nototheniops larseni" "flatfish"
"1642" "Ophidion elongatus" "flatfish"
"1643" "Pleuragramma antarcticum" "flatfish"
"1644" "Roundworm" "flatfish"
"1645" "Schistomysis spiritus" "flatfish"
"1646" "Theragra chalcogramma" "flatfish"
"1647" "Thysanoessa inermis" "flatfish"
"1648" "Thysanoessa macrura" "flatfish"
"1649" "Thysanoessa raschii" "flatfish"
"1650" "Thysanoessa spinefera" "flatfish"
"1651" "Acanthocepola sp." "flatfish"
"1652" "Ammodytes hexapterus" "flatfish"
"1653" "Anarhichas lupus" "flatfish"
"1654" "Benthosema glaciale" "flatfish"
"1655" "Carangoides sp." "flatfish"
"1656" "Ceratoscopelus maderensis" "flatfish"
"1657" "Chionodraco rastrospinosus" "flatfish"
"1658" "Cynoglossus sp." "flatfish"
"1659" "Diaphus garmani" "flatfish"
"1660" "Hemilepidotus spinosus" "flatfish"
"1661" "Hygophum benoiti" "flatfish"
"1662" "Lampanyctus crocodilus" "flatfish"
"1663" "Lumpenella longirostris" "flatfish"
"1664" "Lumpenus sagitta" "flatfish"
"1665" "Merluccius productus" "flatfish"
"1666" "Myctophum asperum" "flatfish"
"1667" "Myctophum punctatum" "flatfish"
"1668" "Notolepis rissoi" "flatfish"
"1669" "Oncorhynchus gorbuscha" "flatfish"
"1670" "Psychrolutes paradoxus" "flatfish"
"1671" "Rhamphocottus richardsoni" "flatfish"
"1672" "Scorpaenodes sp." "flatfish"
"1673" "Sebastes sp." "flatfish"
"1674" "amphipod" "Funchalia woodwardii"
"1675" "Calliopius sp." "Funchalia woodwardii"
"1676" "Clupea pallasii" "Funchalia woodwardii"
"1677" "Copepod copepodite" "Funchalia woodwardii"
"1678" "Copepod egg" "Funchalia woodwardii"
"1679" "copepod nauplius" "Funchalia woodwardii"
"1680" "E.superba furcilia" "Funchalia woodwardii"
"1681" "Eucalanus bungii" "Funchalia woodwardii"
"1682" "Euphausa superba" "Funchalia woodwardii"
"1683" "euphausia" "Funchalia woodwardii"
"1684" "Hyperidae" "Funchalia woodwardii"
"1685" "Lumpenus sagitta" "Funchalia woodwardii"
"1686" "Notothenia neglecta" "Funchalia woodwardii"
"1687" "Nototheniops larseni" "Funchalia woodwardii"
"1688" "Pleuragramma antarcticum" "Funchalia woodwardii"
"1689" "Roundworm" "Funchalia woodwardii"
"1690" "Schistomysis spiritus" "Funchalia woodwardii"
"1691" "Theragra chalcogramma" "Funchalia woodwardii"
"1692" "Thysanoessa inermis" "Funchalia woodwardii"
"1693" "Thysanoessa macrura" "Funchalia woodwardii"
"1694" "Thysanoessa raschii" "Funchalia woodwardii"
"1695" "Thysanoessa spinefera" "Funchalia woodwardii"
"1696" "Acanthocepola sp." "Funchalia woodwardii"
"1697" "Benthosema glaciale" "Funchalia woodwardii"
"1698" "Carangoides sp." "Funchalia woodwardii"
"1699" "Ceratoscopelus maderensis" "Funchalia woodwardii"
"1700" "Cynoglossus sp." "Funchalia woodwardii"
"1701" "Diaphus garmani" "Funchalia woodwardii"
"1702" "Hemilepidotus spinosus" "Funchalia woodwardii"
"1703" "Hygophum benoiti" "Funchalia woodwardii"
"1704" "Lampanyctus crocodilus" "Funchalia woodwardii"
"1705" "Lumpenella longirostris" "Funchalia woodwardii"
"1706" "Lumpenus sagitta" "Funchalia woodwardii"
"1707" "Merluccius productus" "Funchalia woodwardii"
"1708" "Myctophum asperum" "Funchalia woodwardii"
"1709" "Myctophum punctatum" "Funchalia woodwardii"
"1710" "Notolepis rissoi" "Funchalia woodwardii"
"1711" "Rhamphocottus richardsoni" "Funchalia woodwardii"
"1712" "Scorpaenodes sp." "Funchalia woodwardii"
"1713" "Sebastes sp." "Funchalia woodwardii"
"1714" "Calanoides acutus" "Gadiculus argenteus"
"1715" "Calanus propinquus" "Gadiculus argenteus"
"1716" "Clupea pallasii" "Gadiculus argenteus"
"1717" "copepod" "Gadiculus argenteus"
"1718" "Copepod egg" "Gadiculus argenteus"
"1719" "crab megalope" "Gadiculus argenteus"
"1720" "Decapod zoea" "Gadiculus argenteus"
"1721" "Eucalanus bungii" "Gadiculus argenteus"
"1722" "isopod" "Gadiculus argenteus"
"1723" "Lumpenus sagitta" "Gadiculus argenteus"
"1724" "Rhincalanus gigas" "Gadiculus argenteus"
"1725" "Roundworm" "Gadiculus argenteus"
"1726" "Schistomysis spiritus" "Gadiculus argenteus"
"1727" "Theragra chalcogramma" "Gadiculus argenteus"
"1728" "Thysanoessa inermis" "Gadiculus argenteus"
"1729" "Thysanoessa spinefera" "Gadiculus argenteus"
"1730" "Acanthocepola sp." "Gadiculus argenteus"
"1731" "Benthosema glaciale" "Gadiculus argenteus"
"1732" "Carangoides sp." "Gadiculus argenteus"
"1733" "Ceratoscopelus maderensis" "Gadiculus argenteus"
"1734" "Cynoglossus sp." "Gadiculus argenteus"
"1735" "Diaphus garmani" "Gadiculus argenteus"
"1736" "Hygophum benoiti" "Gadiculus argenteus"
"1737" "Lampanyctus crocodilus" "Gadiculus argenteus"
"1738" "Notolepis rissoi" "Gadiculus argenteus"
"1739" "Scorpaenodes sp." "Gadiculus argenteus"
"1740" "Calanoides acutus" "Gadiculus sp."
"1741" "Clupea pallasii" "Gadiculus sp."
"1742" "copepod" "Gadiculus sp."
"1743" "Copepod egg" "Gadiculus sp."
"1744" "crab megalope" "Gadiculus sp."
"1745" "Decapod zoea" "Gadiculus sp."
"1746" "Eucalanus bungii" "Gadiculus sp."
"1747" "Lumpenus sagitta" "Gadiculus sp."
"1748" "Rhincalanus gigas" "Gadiculus sp."
"1749" "Roundworm" "Gadiculus sp."
"1750" "Schistomysis spiritus" "Gadiculus sp."
"1751" "Theragra chalcogramma" "Gadiculus sp."
"1752" "Thysanoessa inermis" "Gadiculus sp."
"1753" "Thysanoessa spinefera" "Gadiculus sp."
"1754" "Acanthocepola sp." "Gadiculus sp."
"1755" "Benthosema glaciale" "Gadiculus sp."
"1756" "Carangoides sp." "Gadiculus sp."
"1757" "Ceratoscopelus maderensis" "Gadiculus sp."
"1758" "Cynoglossus sp." "Gadiculus sp."
"1759" "Diaphus garmani" "Gadiculus sp."
"1760" "Hygophum benoiti" "Gadiculus sp."
"1761" "Lampanyctus crocodilus" "Gadiculus sp."
"1762" "Notolepis rissoi" "Gadiculus sp."
"1763" "Scorpaenodes sp." "Gadiculus sp."
"1764" "amphipod" "Gadoid"
"1765" "Calliopius sp." "Gadoid"
"1766" "Clupea pallasii" "Gadoid"
"1767" "Copepod copepodite" "Gadoid"
"1768" "Copepod egg" "Gadoid"
"1769" "copepod nauplius" "Gadoid"
"1770" "E.superba furcilia" "Gadoid"
"1771" "Eucalanus bungii" "Gadoid"
"1772" "Euphausa superba" "Gadoid"
"1773" "euphausia" "Gadoid"
"1774" "Hyperidae" "Gadoid"
"1775" "Lumpenus sagitta" "Gadoid"
"1776" "Notothenia neglecta" "Gadoid"
"1777" "Nototheniops larseni" "Gadoid"
"1778" "Pleuragramma antarcticum" "Gadoid"
"1779" "Roundworm" "Gadoid"
"1780" "Schistomysis spiritus" "Gadoid"
"1781" "Theragra chalcogramma" "Gadoid"
"1782" "Thysanoessa inermis" "Gadoid"
"1783" "Thysanoessa macrura" "Gadoid"
"1784" "Thysanoessa raschii" "Gadoid"
"1785" "Thysanoessa spinefera" "Gadoid"
"1786" "Acanthocepola sp." "Gadoid"
"1787" "Benthosema glaciale" "Gadoid"
"1788" "Carangoides sp." "Gadoid"
"1789" "Ceratoscopelus maderensis" "Gadoid"
"1790" "Cynoglossus sp." "Gadoid"
"1791" "Diaphus garmani" "Gadoid"
"1792" "Hemilepidotus spinosus" "Gadoid"
"1793" "Hygophum benoiti" "Gadoid"
"1794" "Lampanyctus crocodilus" "Gadoid"
"1795" "Lumpenella longirostris" "Gadoid"
"1796" "Lumpenus sagitta" "Gadoid"
"1797" "Merluccius productus" "Gadoid"
"1798" "Myctophum asperum" "Gadoid"
"1799" "Myctophum punctatum" "Gadoid"
"1800" "Notolepis rissoi" "Gadoid"
"1801" "Rhamphocottus richardsoni" "Gadoid"
"1802" "Scorpaenodes sp." "Gadoid"
"1803" "Sebastes sp." "Gadoid"
"1804" "Agonus cataphractus" "Gadus morhua"
"1805" "Ammodytes sp." "Gadus morhua"
"1806" "Ancistroteuthis lichtensteini" "Gadus morhua"
"1807" "Arctozenus risso" "Gadus morhua"
"1808" "Argentina sphyraena" "Gadus morhua"
"1809" "Brevoortia sp." "Gadus morhua"
"1810" "Buglossidium luteum" "Gadus morhua"
"1811" "Callionymus lyra" "Gadus morhua"
"1812" "Callionymus maculatus" "Gadus morhua"
"1813" "Capros aper" "Gadus morhua"
"1814" "Cepola macrophthalma" "Gadus morhua"
"1815" "Ceratoscopelus maderensis" "Gadus morhua"
"1816" "Chaetognatha" "Gadus morhua"
"1817" "Chiroteuthis sp" "Gadus morhua"
"1818" "Clupea harengus" "Gadus morhua"
"1819" "Clupeoid" "Gadus morhua"
"1820" "crustacean" "Gadus morhua"
"1821" "Cubiceps gracilis" "Gadus morhua"
"1822" "Deltentosteus quadrimaculatus" "Gadus morhua"
"1823" "Engraulis encrassicolus" "Gadus morhua"
"1824" "Euphausid furcilia" "Gadus morhua"
"1825" "fish" "Gadus morhua"
"1826" "fish unidentified" "Gadus morhua"
"1827" "flatfish" "Gadus morhua"
"1828" "Funchalia woodwardii" "Gadus morhua"
"1829" "Gadiculus argenteus" "Gadus morhua"
"1830" "Gadiculus sp." "Gadus morhua"
"1831" "Gadoid" "Gadus morhua"
"1832" "Gaidropsarus sp." "Gadus morhua"
"1833" "Gaidropsarus vulgaris" "Gadus morhua"
"1834" "Galiteuthis armata" "Gadus morhua"
"1835" "gelatinous" "Gadus morhua"
"1836" "Gonatus steenstrupi" "Gadus morhua"
"1837" "Gurnard" "Gadus morhua"
"1838" "Haliphron atlanticus" "Gadus morhua"
"1839" "Hatchet fish" "Gadus morhua"
"1840" "Hippoglossina oblonga" "Gadus morhua"
"1841" "Hippoglossoides platessoides" "Gadus morhua"
"1842" "Histioteuthis reversa" "Gadus morhua"
"1843" "Lepidorhombus whiffiagonis" "Gadus morhua"
"1844" "Limanda limanda" "Gadus morhua"
"1845" "Lobianchia gemellari" "Gadus morhua"
"1846" "Macroparalepis affinis" "Gadus morhua"
"1847" "Mastigoteuthis sp" "Gadus morhua"
"1848" "Merlangius merlangus" "Gadus morhua"
"1849" "Merluccius merluccius" "Gadus morhua"
"1850" "Microchirus variegatus" "Gadus morhua"
"1851" "Micromesistius potassou" "Gadus morhua"
"1852" "Microstomus kitt" "Gadus morhua"
"1853" "Myctophid" "Gadus morhua"
"1854" "Myctophum punctatum" "Gadus morhua"
"1855" "Notoscopelus kroeyeri" "Gadus morhua"
"1856" "Octopoteuthis sp" "Gadus morhua"
"1857" "Ocythoe tuberculata" "Gadus morhua"
"1858" "Ommastrephidae" "Gadus morhua"
"1859" "Onychoteuthis banksi" "Gadus morhua"
"1860" "Paralepididae sp" "Gadus morhua"
"1861" "Paralepis affinis" "Gadus morhua"
"1862" "Parathemisto gaudichaudi" "Gadus morhua"
"1863" "Peprilus triacanthus" "Gadus morhua"
"1864" "Pseudopleuronectes americanus" "Gadus morhua"
"1865" "Raja naevus" "Gadus morhua"
"1866" "Raja sp." "Gadus morhua"
"1867" "Rockling" "Gadus morhua"
"1868" "Sardina pilchardus" "Gadus morhua"
"1869" "Scaldfish" "Gadus morhua"
"1870" "Scomber scombrus" "Gadus morhua"
"1871" "Scomber scrombus" "Gadus morhua"
"1872" "Scomberesox saurus" "Gadus morhua"
"1873" "Scyliorhinus canicula" "Gadus morhua"
"1874" "Sepiolidae" "Gadus morhua"
"1875" "Serranus hepatus" "Gadus morhua"
"1876" "Spicara flexuosa" "Gadus morhua"
"1877" "Sprattus sprattus" "Gadus morhua"
"1878" "squid unidentified" "Gadus morhua"
"1879" "Symbolophorus veranyi" "Gadus morhua"
"1880" "teleosts/molluscs/crustaceans" "Gadus morhua"
"1881" "Trachurus sp." "Gadus morhua"
"1882" "Trachurus trachurus" "Gadus morhua"
"1883" "Trigla lyra" "Gadus morhua"
"1884" "Trisopterus esmarkii" "Gadus morhua"
"1885" "Trisopterus luscus" "Gadus morhua"
"1886" "Trisopterus minutus" "Gadus morhua"
"1887" "Trisopterus sp." "Gadus morhua"
"1888" "unidentified invertebrate" "Gadus morhua"
"1889" "unidentified squid" "Gadus morhua"
"1890" "Arnoglossus imperialis" "Gadus morhua"
"1891" "Aspitrigla cuculus" "Gadus morhua"
"1892" "Clupea harengus" "Gadus morhua"
"1893" "Clupea pallasii" "Gadus morhua"
"1894" "Eutrigla gurnardus" "Gadus morhua"
"1895" "Gasterosteus aculeatus" "Gadus morhua"
"1896" "Hexagrammos decagrammus" "Gadus morhua"
"1897" "Hypomesus pretiosus" "Gadus morhua"
"1898" "Loligo pealeii" "Gadus morhua"
"1899" "Melanogrammus aeglefinus" "Gadus morhua"
"1900" "Merluccius bilinearis" "Gadus morhua"
"1901" "Micromesistius poutassou" "Gadus morhua"
"1902" "Myoxocephalus octodecimspinosus" "Gadus morhua"
"1903" "Oncorhynchus keta" "Gadus morhua"
"1904" "Oncorhynchus nerka" "Gadus morhua"
"1905" "Paralichthys dentatus" "Gadus morhua"
"1906" "Paralichthys oblongus" "Gadus morhua"
"1907" "Scomber scombrus" "Gadus morhua"
"1908" "Scophthalmus aquosus" "Gadus morhua"
"1909" "Scyliorhinus canicula" "Gadus morhua"
"1910" "Thaleichthys pacificus" "Gadus morhua"
"1911" "Trachurus trachurus" "Gadus morhua"
"1912" "Trisopterus minutus" "Gadus morhua"
"1913" "Urophycis regia" "Gadus morhua"
"1914" "Zeus faber" "Gadus morhua"
"1915" "Clupea pallasii" "Gaidropsarus sp."
"1916" "Copepod egg" "Gaidropsarus sp."
"1917" "Decapod zoea" "Gaidropsarus sp."
"1918" "Eucalanus bungii" "Gaidropsarus sp."
"1919" "Lumpenus sagitta" "Gaidropsarus sp."
"1920" "Rhincalanus gigas" "Gaidropsarus sp."
"1921" "Roundworm" "Gaidropsarus sp."
"1922" "Schistomysis spiritus" "Gaidropsarus sp."
"1923" "Theragra chalcogramma" "Gaidropsarus sp."
"1924" "Thysanoessa inermis" "Gaidropsarus sp."
"1925" "Thysanoessa spinefera" "Gaidropsarus sp."
"1926" "Acanthocepola sp." "Gaidropsarus sp."
"1927" "Benthosema glaciale" "Gaidropsarus sp."
"1928" "Carangoides sp." "Gaidropsarus sp."
"1929" "Ceratoscopelus maderensis" "Gaidropsarus sp."
"1930" "Cynoglossus sp." "Gaidropsarus sp."
"1931" "Diaphus garmani" "Gaidropsarus sp."
"1932" "Hygophum benoiti" "Gaidropsarus sp."
"1933" "Lampanyctus crocodilus" "Gaidropsarus sp."
"1934" "Myctophum asperum" "Gaidropsarus sp."
"1935" "Myctophum punctatum" "Gaidropsarus sp."
"1936" "Notolepis rissoi" "Gaidropsarus sp."
"1937" "Scorpaenodes sp." "Gaidropsarus sp."
"1938" "Calliopius sp." "Gaidropsarus vulgaris"
"1939" "Clupea pallasii" "Gaidropsarus vulgaris"
"1940" "Copepod copepodite" "Gaidropsarus vulgaris"
"1941" "Copepod egg" "Gaidropsarus vulgaris"
"1942" "copepod nauplius" "Gaidropsarus vulgaris"
"1943" "E.superba furcilia" "Gaidropsarus vulgaris"
"1944" "Eucalanus bungii" "Gaidropsarus vulgaris"
"1945" "Euphausa superba" "Gaidropsarus vulgaris"
"1946" "Lumpenus sagitta" "Gaidropsarus vulgaris"
"1947" "Notothenia neglecta" "Gaidropsarus vulgaris"
"1948" "Nototheniops larseni" "Gaidropsarus vulgaris"
"1949" "Pleuragramma antarcticum" "Gaidropsarus vulgaris"
"1950" "Roundworm" "Gaidropsarus vulgaris"
"1951" "Schistomysis spiritus" "Gaidropsarus vulgaris"
"1952" "Theragra chalcogramma" "Gaidropsarus vulgaris"
"1953" "Thysanoessa inermis" "Gaidropsarus vulgaris"
"1954" "Thysanoessa macrura" "Gaidropsarus vulgaris"
"1955" "Thysanoessa raschii" "Gaidropsarus vulgaris"
"1956" "Thysanoessa spinefera" "Gaidropsarus vulgaris"
"1957" "Acanthocepola sp." "Gaidropsarus vulgaris"
"1958" "Benthosema glaciale" "Gaidropsarus vulgaris"
"1959" "Carangoides sp." "Gaidropsarus vulgaris"
"1960" "Ceratoscopelus maderensis" "Gaidropsarus vulgaris"
"1961" "Cynoglossus sp." "Gaidropsarus vulgaris"
"1962" "Diaphus garmani" "Gaidropsarus vulgaris"
"1963" "Hemilepidotus spinosus" "Gaidropsarus vulgaris"
"1964" "Hygophum benoiti" "Gaidropsarus vulgaris"
"1965" "Lampanyctus crocodilus" "Gaidropsarus vulgaris"
"1966" "Lumpenella longirostris" "Gaidropsarus vulgaris"
"1967" "Merluccius productus" "Gaidropsarus vulgaris"
"1968" "Myctophum asperum" "Gaidropsarus vulgaris"
"1969" "Myctophum punctatum" "Gaidropsarus vulgaris"
"1970" "Notolepis rissoi" "Gaidropsarus vulgaris"
"1971" "Scorpaenodes sp." "Gaidropsarus vulgaris"
"1972" "Sebastes sp." "Gaidropsarus vulgaris"
"1973" "amphipod" "Galiteuthis armata"
"1974" "Benthosema glaciale" "Galiteuthis armata"
"1975" "Bivalve" "Galiteuthis armata"
"1976" "Calliopius sp." "Galiteuthis armata"
"1977" "Copepod copepodite" "Galiteuthis armata"
"1978" "Copepod egg" "Galiteuthis armata"
"1979" "copepod nauplius" "Galiteuthis armata"
"1980" "crustacean larva" "Galiteuthis armata"
"1981" "E.superba furcilia" "Galiteuthis armata"
"1982" "Euphausa superba" "Galiteuthis armata"
"1983" "euphausia" "Galiteuthis armata"
"1984" "fish larvae" "Galiteuthis armata"
"1985" "gastropod" "Galiteuthis armata"
"1986" "Glyptocephalus cynoglossus" "Galiteuthis armata"
"1987" "Goby" "Galiteuthis armata"
"1988" "Hyperidae" "Galiteuthis armata"
"1989" "Insects" "Galiteuthis armata"
"1990" "Loligo pealei or Illex illecebrosus" "Galiteuthis armata"
"1991" "Meganyctiphanes norvegica" "Galiteuthis armata"
"1992" "Notothenia gibberifrons" "Galiteuthis armata"
"1993" "Notothenia neglecta" "Galiteuthis armata"
"1994" "Nototheniops larseni" "Galiteuthis armata"
"1995" "Ophidion elongatus" "Galiteuthis armata"
"1996" "Pleuragramma antarcticum" "Galiteuthis armata"
"1997" "Roundworm" "Galiteuthis armata"
"1998" "Themisto pacifica" "Galiteuthis armata"
"1999" "Theragra chalcogramma" "Galiteuthis armata"
"2000" "Thysanoessa inermis" "Galiteuthis armata"
"2001" "Thysanoessa macrura" "Galiteuthis armata"
"2002" "Thysanoessa raschii" "Galiteuthis armata"
"2003" "Thysanoessa spinefera" "Galiteuthis armata"
"2004" "Acanthocepola sp." "Galiteuthis armata"
"2005" "Ammodytes hexapterus" "Galiteuthis armata"
"2006" "Anarhichas lupus" "Galiteuthis armata"
"2007" "Anarhichas minor" "Galiteuthis armata"
"2008" "Benthosema glaciale" "Galiteuthis armata"
"2009" "Carangoides sp." "Galiteuthis armata"
"2010" "Ceratoscopelus maderensis" "Galiteuthis armata"
"2011" "Chionodraco rastrospinosus" "Galiteuthis armata"
"2012" "Diaphus garmani" "Galiteuthis armata"
"2013" "Dicentrarchus labrax" "Galiteuthis armata"
"2014" "Gilbertidia sigalutes" "Galiteuthis armata"
"2015" "Hemilepidotus hemilepidotus" "Galiteuthis armata"
"2016" "Hemilepidotus spinosus" "Galiteuthis armata"
"2017" "Hygophum benoiti" "Galiteuthis armata"
"2018" "Lumpenella longirostris" "Galiteuthis armata"
"2019" "Lumpenus sagitta" "Galiteuthis armata"
"2020" "Merluccius productus" "Galiteuthis armata"
"2021" "Myctophum asperum" "Galiteuthis armata"
"2022" "Myctophum punctatum" "Galiteuthis armata"
"2023" "Notolepis rissoi" "Galiteuthis armata"
"2024" "Nototheniops larseni" "Galiteuthis armata"
"2025" "Oncorhynchus gorbuscha" "Galiteuthis armata"
"2026" "Ophiodon elongatus" "Galiteuthis armata"
"2027" "Psychrolutes paradoxus" "Galiteuthis armata"
"2028" "Rhamphocottus richardsoni" "Galiteuthis armata"
"2029" "Scorpaenodes sp." "Galiteuthis armata"
"2030" "Sebastes sp." "Galiteuthis armata"
"2031" "Amphipod" "gastropod"
"2032" "Appendicularians" "gastropod"
"2033" "Appendicularians house" "gastropod"
"2034" "brachyura larvae" "gastropod"
"2035" "bryozoa larvae" "gastropod"
"2036" "Calanoid copepodite" "gastropod"
"2037" "calanoid egg" "gastropod"
"2038" "Calanus pacificus" "gastropod"
"2039" "Centropages typicus - copepodite" "gastropod"
"2040" "Centropages typicus - nauplius" "gastropod"
"2041" "cladocera" "gastropod"
"2042" "Cladocera" "gastropod"
"2043" "Clausocalanus sp." "gastropod"
